description,category
multiplex ticket,Entertainment
beach resort,Entertainment
flipkart books payment,Shopping
church offering,Others
dental cleaning payment,Healthcare
protein powder,Healthcare
crocs purchase payment,Shopping
dunkin donuts payment,Food
beach resort payment,Entertainment
physician visit payment,Healthcare
piped gas payment,Bills
dell laptop,Shopping
paracetamol tablet,Healthcare
reebok shoes payment,Shopping
city bus pass payment,Transport
moisturizer,Shopping
nike shoes payment,Shopping
credit card payment payment,Bills
bmrcl ticket,Transport
standup comedy payment,Entertainment
freelancer earning,Income
allegra medicine,Healthcare
milk purchase payment,Food
zara purchase payment,Shopping
mobile phone payment,Shopping
vijay sales payment,Shopping
home decor,Shopping
oil change payment,Transport
dry cleaning,Others
car service,Transport
bowling alley payment,Entertainment
westside clothes,Shopping
film ticket,Entertainment
macbook buy payment,Shopping
tandoori chicken,Food
fuel station,Transport
body lotion payment,Shopping
equity profit,Income
bookmyshow movie,Entertainment
thyroid medicine,Healthcare
indigo airlines payment,Transport
gig payment payment,Income
flight ticket payment,Transport
south indian meal payment,Food
bsnl recharge payment,Bills
settlement payment,Income
fresh juice payment,Food
milkshake,Food
vehicle maintenance,Transport
theater play payment,Entertainment
tim hortons payment,Food
toptal payment payment,Income
thyroid test,Healthcare
bangalore metro payment,Transport
north indian thali payment,Food
hair color,Shopping
taco bell payment,Food
performance bonus payment,Income
makaan rent payment,Bills
office supplies payment,Shopping
manali vacation payment,Entertainment
dental cleaning,Healthcare
bangalore metro,Transport
car insurance renewal,Transport
netflix annual payment,Bills
calcium tablet payment,Healthcare
inox theater payment,Entertainment
contest winning,Income
dress shopping,Shopping
photography equipment payment,Entertainment
veterinary medicine payment,Others
pub night,Entertainment
vistara ticket payment,Transport
internet bill,Bills
temple donation payment,Others
salary credited payment,Income
physiotherapy,Healthcare
third wave coffee,Food
dal makhani payment,Food
omeprazole medicine,Healthcare
standup comedy,Entertainment
more supermarket payment,Food
crossword bookstore payment,Shopping
maybelline makeup payment,Shopping
bike insurance payment,Transport
office lunch,Food
massage therapy payment,Healthcare
water bill,Bills
highway toll payment,Transport
wai wai noodles payment,Food
electricity bill,Bills
ola bike payment,Transport
indraprastha gas,Bills
naan roti,Food
tv purchase,Shopping
creatine supplement payment,Healthcare
lunch buffet,Food
water park payment,Entertainment
nintendo switch payment,Entertainment
penalty payment payment,Others
court fees,Others
pav bhaji stall,Food
blinkit order payment,Food
mobile phone,Shopping
face wash payment,Shopping
cricket match payment,Entertainment
tikona broadband payment,Bills
hostel fees,Bills
metformin diabetes payment,Healthcare
home loan,Bills
valorant points payment,Entertainment
netflix annual,Bills
echo test payment,Healthcare
earphones purchase,Shopping
adventure sports,Entertainment
prime video subscription,Bills
aadhar update,Others
scooter hire,Transport
azithromycin course payment,Healthcare
incentive payment payment,Income
savaari cab,Transport
blood pressure medicine,Healthcare
wedding gift payment,Others
pantoprazole tablet payment,Healthcare
gaana subscription payment,Bills
ulip premium,Bills
postal charges payment,Others
baby shower gift,Others
notebook pen payment,Shopping
dermatologist visit payment,Healthcare
insulin injection payment,Healthcare
paytm insider,Entertainment
fd interest payment,Income
shampoo conditioner payment,Shopping
yoga class payment,Healthcare
shoe mart payment,Shopping
barista latte payment,Food
bewakoof tshirt,Shopping
go karting payment,Entertainment
cash withdrawal payment,Others
charity donation,Others
thai food restaurant payment,Food
radio taxi payment,Transport
kerala trip,Entertainment
client payment payment,Income
amul ice cream,Food
dell laptop payment,Shopping
cobbler shoe repair,Others
puma sneakers payment,Shopping
piped gas,Bills
star bazaar,Food
pension received,Income
cobbler shoe repair payment,Others
headphones buy,Shopping
interest credited,Income
uber ride,Transport
goa trip,Entertainment
unknown expense,Others
oil change,Transport
popeyes chicken,Food
medical insurance premium payment,Healthcare
montair tablet payment,Healthcare
niva bupa,Healthcare
bike repair,Transport
diagnostic center payment,Healthcare
crowdfunding payment,Others
dry fruits,Food
bmrcl ticket payment,Transport
1mg medicine payment,Healthcare
allowance credited,Income
rasgulla order payment,Food
notebook pen,Shopping
crowdfunding,Others
bus ticket payment,Transport
parking fee payment,Transport
massage therapy,Healthcare
weekly salary,Income
football purchase payment,Entertainment
